datetime,temperature,humidity,wind_speed,rain
2024-10-17 17:00:07,23.03,58,6.19,0.0
2024-10-17 18:00:07,22.37,60,6.5,0.0
2024-10-17 19:00:08,23.34,55,4.02,0.0
2024-10-17 20:00:09,23.4,55,4.47,0.0
2024-10-17 21:00:07,21.96,58,2.24,0.0
2024-10-17 22:00:09,21.44,62,5.36,0.0
2024-10-17 23:00:08,19.27,69,4.92,0.0
2024-10-18 00:00:08,18.16,72,3.58,0.0
2024-10-18 01:00:07,18.06,74,2.24,0.0
2024-10-18 02:00:08,17.86,75,4.02,0.0
2024-10-18 03:00:07,16.96,79,4.02,0.0
2024-10-18 04:00:07,17.06,81,1.79,0.0
2024-10-18 05:00:06,17.2,82,0.89,0.0
2024-10-18 06:00:07,17.43,82,1.34,0.0
2024-10-18 07:00:07,17.42,83,0.89,0.0
2024-10-18 08:00:08,18.13,80,0.89,0.0
2024-10-18 09:00:09,17.78,81,0.45,0.0
2024-10-18 10:00:08,17.78,80,1.34,0.0
2024-10-18 11:00:08,17.29,81,1.34,0.0
2024-10-18 12:00:07,18.08,79,4.6,0.0
2024-10-18 13:00:08,19.77,75,1.34,0.0
2024-10-18 14:00:07,22.27,65,3.13,0.0
2024-10-18 15:00:07,24.41,59,3.58,0.0
2024-10-18 16:00:07,25.29,56,4.47,0.0
2024-10-18 17:00:07,25.24,59,6.71,0.0
2024-10-18 18:00:07,25.55,55,3.58,0.0
2024-10-18 19:00:07,25.27,57,2.68,0.0
2024-10-18 20:00:07,25.92,59,2.24,0.0
2024-10-18 21:00:07,25.41,60,5.81,0.0
2024-10-18 22:00:08,24.83,62,2.24,0.0
2024-10-18 23:00:07,23.01,67,2.24,0.0
2024-10-19 00:00:07,21.9,71,1.34,0.0
2024-10-19 01:00:07,20.57,80,1.34,0.0
2024-10-19 02:00:08,21.07,82,1.34,0.0
2024-10-19 03:00:07,21.26,81,0.45,0.0
2024-10-19 04:00:06,20.4,83,1.79,0.0
2024-10-19 05:00:07,20.34,83,1.34,0.0
2024-10-19 06:00:07,19.68,85,1.34,0.0
2024-10-19 07:00:07,19.27,86,1.34,0.0
2024-10-19 08:00:07,19.26,87,1.79,0.0
2024-10-19 09:00:07,19.25,87,1.34,0.0
2024-10-19 10:00:07,19.26,86,1.79,0.0
2024-10-19 11:00:06,19.38,86,0.89,0.0
2024-10-19 12:00:08,19.05,86,1.34,0.0
2024-10-19 13:00:07,21.75,79,1.34,0.0
2024-10-19 14:00:07,25.22,69,2.24,0.0
2024-10-19 15:00:07,26.61,59,4.02,0.0
2024-10-19 16:00:07,26.96,55,5.81,0.0
2024-10-19 17:00:07,27.16,52,2.24,0.0
2024-10-19 18:00:07,27.4,56,6.26,0.0
2024-10-19 19:00:07,26.0,65,4.02,0.0
2024-10-19 20:00:07,25.53,66,3.58,0.0
2024-10-19 21:00:06,25.21,64,3.58,0.0
2024-10-19 22:00:06,24.82,64,2.24,0.0
2024-10-19 23:00:07,23.15,69,0.89,0.0
2024-10-20 00:00:07,22.19,73,0.45,0.0
2024-10-20 01:00:07,21.25,76,0.89,0.0
2024-10-20 02:00:08,21.25,77,1.79,0.0
2024-10-20 03:00:06,22.0,59,3.95,0.0
2024-10-20 04:00:06,20.15,84,2.24,0.0
2024-10-20 05:00:06,20.57,89,1.34,0.0
2024-10-20 06:00:07,20.27,92,1.34,0.0
2024-10-20 07:00:07,19.9,94,2.24,0.0
2024-10-20 08:00:08,19.9,94,0.89,0.0
2024-10-20 09:00:06,19.91,94,3.13,0.0
2024-10-20 10:00:06,20.57,94,1.34,0.0
2024-10-20 11:00:07,20.93,94,4.02,0.0
2024-10-20 12:00:08,20.94,93,1.34,0.0
2024-10-20 13:00:08,21.23,92,2.24,0.0
2024-10-20 14:00:07,23.15,86,4.47,0.0
2024-10-20 15:00:07,24.0,64,5.04,0.42
2024-10-20 16:00:07,24.28,85,2.68,0.0
2024-10-20 17:00:07,24.84,82,1.34,0.0
2024-10-20 18:00:08,26.64,76,1.79,0.0
2024-10-20 19:00:07,25.88,83,2.68,0.0
2024-10-20 20:00:07,27.98,66,4.02,0.0
2024-10-20 21:00:07,27.1,69,3.58,0.0
2024-10-20 22:00:07,26.33,68,4.92,0.0
2024-10-20 23:00:07,24.27,76,2.24,0.0
2024-10-21 00:00:07,23.56,80,0.89,0.0
2024-10-21 01:00:07,23.0,83,2.68,0.0
2024-10-21 02:00:07,22.45,86,2.24,0.0
2024-10-21 03:00:07,21.96,91,1.79,0.0
2024-10-21 04:00:07,21.53,92,1.79,0.0
2024-10-21 05:00:08,21.01,93,2.68,0.0
2024-10-21 06:00:07,21.01,93,1.79,0.0
2024-10-21 07:00:07,20.93,94,1.34,0.0
2024-10-21 08:00:07,20.43,94,2.24,0.0
2024-10-21 09:00:07,20.43,94,1.34,0.0
2024-10-21 10:00:07,20.43,93,1.34,0.0
2024-10-21 11:00:07,20.38,92,0.89,0.0
2024-10-21 12:00:07,20.23,92,1.34,0.0
2024-10-21 13:00:07,21.61,87,1.34,0.0
2024-10-21 14:00:08,23.59,81,1.34,0.0
2024-10-21 15:00:07,25.94,77,2.68,0.0
2024-10-21 16:00:08,26.93,72,5.45,0.0
2024-10-21 17:00:07,27.56,69,6.16,0.0
2024-10-21 18:00:07,27.11,74,2.24,0.0
2024-10-21 19:00:07,27.77,73,4.02,0.0
2024-10-21 20:00:09,26.69,79,2.24,0.0
2024-10-21 21:00:08,26.96,75,2.68,0.0
2024-10-21 22:00:08,24.02,86,3.13,0.0
2024-10-21 23:00:08,23.7,87,2.68,0.0
2024-10-22 00:00:07,23.14,88,1.34,0.0
2024-10-22 01:00:08,23.05,89,1.79,0.0
2024-10-22 02:00:07,22.59,89,2.24,0.0
